adm_no,status,marks,note,subject,subject_id
23ME00B1802,0,20,,ENGLISH,14
23ME00B1821,0,20,,ENGLISH,14
23ME00G1870,0,20,,ENGLISH,14
23ME00G2099,0,20,,ENGLISH,14
23ME00B2105,0,20,,ENGLISH,14
23ME00B2197,0,20,,ENGLISH,14
23ME00B2429,0,20,,ENGLISH,14
23ME00B2521,0,20,,ENGLISH,14
23ME00G2659,0,20,,ENGLISH,14
23ME00B1884,0,20,,ENGLISH,14
23ME00B2407,0,20,,ENGLISH,14
23ME00B1979,0,20,,ENGLISH,14
23ME00B2096,0,20,,ENGLISH,14
23ME00B2113,0,20,,ENGLISH,14
23ME00B2321,0,20,,ENGLISH,14
23ME00B2453,0,20,,ENGLISH,14
23ME00B2463,0,20,,ENGLISH,14
23ME00G2472,0,20,,ENGLISH,14
23ME00B2473,0,20,,ENGLISH,14
23ME00G2491,0,20,,ENGLISH,14
23ME00B2493,0,20,,ENGLISH,14
23ME00B2499,0,20,,ENGLISH,14
23ME00B2702,0,20,,ENGLISH,14
23ME00G2767,0,20,,ENGLISH,14
23ME00B2752,0,20,,ENGLISH,14
